compound,Tc,source
Tl,"[1.243, 3.058, 5.74, 5.74]","['10.1016/j.optmat.2019.109601', '10.1016/j.optmat.2020.110656', '10.1016/j.rinp.2021.104695', '10.1016/j.rinp.2021.104695']"
CS2,"[3.61, 3.68]","['10.1016/j.jallcom.2017.02.080', '10.1016/j.jallcom.2017.02.080']"
FeHO2,[0.7],['10.1016/j.apcatb.2021.120037']
CaWO4,"[3.94, 3.94, 4.69, 5.7, 6.1]","['10.1016/j.jallcom.2020.157377', '10.1016/j.jallcom.2020.157377', '10.1016/j.jlumin.2015.12.014', '10.1016/j.jlumin.2015.12.014', '10.1016/j.rinp.2021.104826']"
CrFeCoGe,[0.18],['10.1016/j.jmmm.2016.11.110']
InFe2CuSe4,[0.22],['10.1016/j.cocom.2020.e00459']
VO2,"[0.7, 1.112, 1.491]","['10.1016/j.cocom.2020.e00498', '10.1016/j.jmmm.2023.170449', '10.1016/S0039-6028(01)01395-4', '10.1016/j.vacuum.2021.110495']"
MnCoCuSb,"[0.5, 0.5]","['10.1016/j.jallcom.2018.03.143', '10.1016/j.jallcom.2018.03.143']"
GeN3,[2.28],['10.1016/j.apsusc.2022.154540']
Cs2TiBr6,"[1.58, 1.7, 1.8, 1.8, 1.8, 1.8]","['10.1016/j.optmat.2021.111316', '10.1016/j.jssc.2020.121213', '10.1016/j.jssc.2020.121213', '10.1016/j.optmat.2021.110952', '10.1016/j.solener.2021.11.062', '10.1016/j.jpcs.2020.109852']"
Cs2SeI6,"[1.69, 1.69]","['10.1016/j.optmat.2021.111316', '10.1016/j.optmat.2021.111316']"
Cs2PdBr6,"[0.75, 0.7558, 0.82, 1.6, 1.6, 1.645, 1.65, 1.69, 1.69]","['10.1016/j.matchemphys.2023.127293', '10.1016/j.comptc.2022.113833', '10.1016/j.comptc.2022.113833', '10.1016/j.chemphys.2022.111671', '10.1016/j.jssc.2021.122602', '10.1016/j.materresbull.2021.111613', '10.1016/j.materresbull.2021.111613', '10.1016/j.materresbull.2021.111613', '10.1016/j.cplett.2020.138053']"
Cu2HgGeS4,"[0.016, 0.747]","['10.1016/j.solidstatesciences.2020.106287', '10.1016/j.solidstatesciences.2020.106287']"
YAg2,[4.7],['10.1016/j.jallcom.2017.02.008']
Cu2SnS3,"[0.74, 1.25]","['10.1016/j.jallcom.2021.160552', '10.1016/j.jallcom.2021.160552']"
Na,"[0.5, 1.42]","['10.1016/j.jmst.2019.03.032', '10.1016/j.jssc.2015.09.019', '10.1016/j.susc.2015.12.027', '10.1016/j.susc.2015.12.027', '10.1016/j.susc.2015.12.027']"
InAs,"[0.26, 0.278, 0.33, 0.354, 0.354, 0.36, 0.36, 0.37, 0.391, 0.4, 0.417, 0.417, 0.417, 0.42, 0.42, 0.44, 0.985, 2.0, 2.3]","['10.1016/j.physb.2012.04.018', '10.1016/j.sse.2018.08.001', '10.1016/j.sse.2018.08.001', '10.1016/j.physb.2021.413541', '10.1016/S0924-4247(99)00137-5', '10.1016/S0042-207X(02)00196-3', '10.1016/j.mtcomm.2020.101581', '10.1016/j.jallcom.2008.02.016', '10.1016/j.solmat.2005.10.002', '10.1016/j.physe.2022.115553', '10.1016/j.jallcom.2009.12.109', '10.1016/j.commatsci.2017.12.050', '10.1016/j.ijleo.2015.02.010', '10.1016/j.ijleo.2015.02.010', '10.1016/j.ijleo.2015.02.010', '10.1016/j.chemphys.2023.111942', '10.1016/j.spmi.2013.04.021', '10.1016/j.physe.2009.10.033', '10.1016/j.mee.2009.03.110', '10.1016/j.mee.2009.03.110', '10.1016/j.jallcom.2008.02.016']"
MnAs,"[0.858, 2.0]","['10.1016/j.physb.2012.04.018', '10.1016/j.jallcom.2015.09.173']"
Zn2TeO,[0.82],['10.1016/j.jallcom.2008.12.118']
Ba2YTaO6,"[3.5, 3.5]","['10.1016/j.physb.2014.07.036', '10.1016/j.physb.2014.07.036']"
Fe2SiO4,"[2.66, 2.9, 3.71, 3.84, 3.9]","['10.1016/j.mssp.2021.105741', '10.1016/j.mtcomm.2020.101665', '10.1016/j.mtcomm.2020.101665', '10.1016/j.mtcomm.2020.101665', '10.1016/j.mtcomm.2020.101665']"
SOF,"[1.49, 7.2]","['10.1016/j.mssp.2021.105741', '10.1016/j.mssp.2021.105741']"
Ag0.5Ge1Pb1.75S4,[1.83],['10.1016/j.matchemphys.2018.01.042']
Ag2GePbS4,"[1.515, 1.927, 2.023]","['10.1016/j.matchemphys.2018.01.042', '10.1016/j.matchemphys.2018.01.042', '10.1016/j.matchemphys.2018.01.042']"
MgH3(C2N3)3,[3.39],['10.1016/j.physe.2018.06.014']
RbCdF3,[2.863],['10.1016/j.jpcs.2022.110642']
Al2SeS,"[2.03, 2.834]","['10.1016/j.ijleo.2021.166761', '10.1016/j.physb.2021.413057']"
Cd2GaAgS4,[2.05],['10.1016/j.elspec.2012.11.014']
NaCl,"[1.6204999999999998, 5.0, 10.0]","['10.1016/j.matlet.2019.03.073', '10.1016/j.pmatsci.2015.06.002', '10.1016/j.commatsci.2022.111852']"
GaH2N,[3.019],['10.1016/j.spmi.2019.106270']
La2CuBiS5,[1.7],['10.1016/j.jssc.2015.10.039']
La2CuSbS5,[2.0],['10.1016/j.jssc.2015.10.039']
CuBiSO,"[0.48, 0.503]","['10.1016/S1003-6326(11)61305-8', '10.1016/j.ssc.2009.12.028']"
CeVO4,"[1.8, 1.8, 1.8, 2.9, 2.957]","['10.1016/j.jssc.2009.04.032', '10.1016/j.jssc.2009.04.032', '10.1016/j.jssc.2009.04.032', '10.1016/j.mcat.2023.113013', '10.1016/j.commatsci.2013.07.024']"
VAg3O4,[2.2],['10.1016/j.jssc.2009.04.032']
LiF,"[6.9, 8.579, 8.65, 9.07, 13.0, 14.0, 14.2]","['10.1016/j.jpowsour.2016.01.078', '10.1016/j.jpowsour.2016.01.078', '10.1016/j.nimb.2012.12.022', '10.1016/j.physb.2022.413919', '10.1016/j.physb.2011.06.066', '10.1016/j.optmat.2020.110727', '10.1016/j.apsusc.2009.09.073']"
Tl2SnHgS4,[1.82],['10.1016/j.optmat.2019.04.032']
InAgS2,"[0.67, 1.5, 1.61, 1.8, 1.87, 1.93, 1.93, 2.09, 2.09, 2.1, 2.16]","['10.1016/j.jphotochemrev.2022.100569', '10.1016/j.commatsci.2014.05.010', '10.1016/j.commatsci.2014.05.010', '10.1016/j.mssp.2015.07.008', '10.1016/j.mssp.2015.07.008', '10.1016/j.mssp.2015.07.008', '10.1016/j.mssp.2015.07.008', '10.1016/j.tsf.2020.138469', '10.1016/j.jphotochemrev.2022.100569', '10.1016/j.jphotochemrev.2022.100569', '10.1016/j.jphotochemrev.2022.100569']"
POF,[2.8],['10.1016/j.cap.2020.08.015']
GaPN,[1.5],['10.1016/j.jpcs.2017.12.002']
Bi2Te3,"[0.12, 0.15, 0.17, 0.17500000000000002, 0.3, 0.3, 0.3, 0.46, 3.0]","['10.1016/j.tsf.2010.03.124', '10.1016/S0966-9795(03)00019-0', '10.1016/j.apsusc.2020.146454', '10.1016/j.cocom.2018.e00299', '10.1016/j.cocom.2018.e00299', '10.1016/j.jallcom.2021.161824', '10.1016/j.coco.2021.100917', '10.1016/j.jpcs.2021.110416', '10.1016/j.jpcs.2021.110416']"
CuS,"[0.65, 1.45, 2.0, 2.3, 2.3, 2.3, 2.3, 6.038]","['10.1016/j.jcis.2022.02.022', '10.1016/j.comptc.2016.01.018', '10.1016/j.jallcom.2020.158536', '10.1016/j.matpr.2020.01.574', '10.1016/j.cplett.2013.03.072', '10.1016/j.cplett.2013.03.072', '10.1016/j.jcis.2023.03.070', '10.1016/j.cplett.2013.03.072']"
BWO,[2.35],['10.1016/j.cclet.2021.01.041']
Mn2CoAs,"[0.48, 0.48]","['10.1016/j.cjph.2018.05.005', '10.1016/j.jmmm.2014.02.064']"
SrCuO2,[1.8],['10.1016/S0368-2048(01)00349-8']
KCdCO3F,"[3.29, 5.3]","['10.1016/j.jpcs.2018.02.011', '10.1016/j.jpcs.2018.02.011']"
Bi,"[0.07941, 0.3, 0.6, 0.65, 0.8, 1.0, 1.1, 1.3, 1.7, 2.0, 2.8, 4.22]","['10.1016/j.jpcs.2020.109752', '10.1016/j.susc.2018.09.005', '10.1016/j.materresbull.2006.12.010', '10.1016/j.ijhydene.2018.04.009', '10.1016/0169-4332(92)90241-O', '10.1016/j.mssp.2020.105081', '10.1016/j.jpcs.2019.05.042', '10.1016/j.solidstatesciences.2014.10.012', '10.1016/j.cplett.2019.02.050', '10.1016/j.ceramint.2020.08.123', '10.1016/j.ceramint.2020.08.123', '10.1016/S0039-6028(98)00203-9']"
Cr,"[0.0115, 0.35, 0.71, 0.71, 0.97, 0.97, 0.99, 1.07, 1.289, 1.3, 1.5, 2.4, 3.07]","['10.1016/j.physe.2016.10.050', '10.1016/j.optlastec.2020.106570', '10.1016/j.matchemphys.2019.03.061', '10.1016/j.chemphys.2007.05.028', '10.1016/j.jmmm.2022.169895', '10.1016/j.physe.2021.114667', '10.1016/j.carbon.2017.03.069', '10.1016/j.electacta.2018.04.058', '10.1016/j.physe.2018.03.028', '10.1016/j.physe.2018.03.028', '10.1016/j.physe.2018.03.028', '10.1016/j.physe.2018.03.028', '10.1016/j.apsusc.2016.12.017']"
TiB2C,[0.2731],['10.1016/j.apsusc.2022.154692']
TiB2HC,[0.1235],['10.1016/j.apsusc.2022.154692']
TiB2CS,[0.1741],['10.1016/j.apsusc.2022.154692']
Ag,"[0.1, 0.31, 1.855, 2.092, 2.319, 2.574, 2.7649999999999997, 3.26, 4.26]","['10.1016/j.rinp.2019.102709', '10.1016/j.tsf.2019.137686', '10.1016/j.apsusc.2012.01.110', '10.1016/j.tsf.2019.137686', '10.1016/j.tsf.2020.138469', '10.1016/j.tsf.2020.138469', '10.1016/j.tsf.2020.138469', '10.1016/j.tsf.2020.138469', '10.1016/j.apsusc.2009.05.043']"
Cu2S,"[1.2, 2.96]","['10.1016/j.comptc.2016.01.018', '10.1016/j.comptc.2016.01.018']"
LaBiPd,"[0.25, 0.315, 0.895]","['10.1016/j.mssp.2021.105796', '10.1016/j.mssp.2021.105796', '10.1016/j.mssp.2021.105796']"
TiSnPt,"[0.69, 0.84, 0.91]","['10.1016/j.mssp.2021.105796', '10.1016/j.mssp.2021.105796', '10.1016/j.mssp.2021.105796']"
MoO3,"[2.1, 2.19, 2.2, 2.8, 3.0, 3.37]","['10.1016/j.jphotochem.2020.113035', '10.1016/j.ijleo.2022.168913', '10.1016/j.ijleo.2022.168913', '10.1016/j.mattod.2020.09.036', '10.1016/j.orgel.2009.10.013', '10.1016/j.commatsci.2019.03.027']"
BaZrS3,"[1.62, 1.8, 1.85]","['10.1016/j.nanoen.2021.105959', '10.1016/j.nanoen.2021.105959', '10.1016/j.chemphys.2020.110923']"
Ba2ThCu2S5,"[1.86, 1.86]","['10.1016/j.jssc.2013.01.016', '10.1016/j.jssc.2013.01.016']"
Ba2UCu2S5,"[1.5, 1.5]","['10.1016/j.jssc.2013.01.016', '10.1016/j.jssc.2013.01.016']"
Li5Sn2,[1.25],['10.1016/j.apsusc.2021.149962']
MgZnTe,[2.66],['10.1016/j.cjph.2017.02.018']
Rb2PtI6,"[1.15, 1.15, 1.15]","['10.1016/j.optmat.2021.110952', '10.1016/j.optmat.2021.110952', '10.1016/j.optmat.2021.110952']"
AlBiO3,"[1.487, 1.55, 2.66, 3.28, 3.28, 3.28, 3.43, 3.43]","['10.1016/j.materresbull.2017.09.039', '10.1016/j.mseb.2020.114959', '10.1016/j.mseb.2020.114959', '10.1016/j.physb.2011.03.013', '10.1016/j.physb.2007.09.057', '10.1016/j.physb.2007.09.057', '10.1016/j.physb.2013.03.014', '10.1016/j.physb.2013.03.014']"
W,"[0.109, 0.172, 0.174, 0.208, 0.94, 1.283, 1.912, 3.4]","['10.1016/j.jpcs.2015.10.016', '10.1016/j.jallcom.2015.09.037', '10.1016/j.spmi.2016.09.031', '10.1016/j.spmi.2016.09.031', '10.1016/j.spmi.2016.09.031', '10.1016/j.spmi.2016.09.031', '10.1016/j.spmi.2016.09.031', '10.1016/j.spmi.2016.09.031']"
Fe2CoO4,"[0.713, 0.713, 0.713, 0.713, 0.72, 0.72, 0.72]","['10.1016/j.jmmm.2017.01.043', '10.1016/j.jmmm.2017.01.043', '10.1016/j.ceramint.2019.10.237', '10.1016/j.ceramint.2019.10.237', '10.1016/j.physb.2021.413548', '10.1016/j.jmmm.2016.08.027', '10.1016/j.ceramint.2019.10.237', '10.1016/j.jmmm.2019.165862']"
BiPd6,[1.757],['10.1016/j.jnoncrysol.2022.121801']
TiSi7,[0.51],['10.1016/j.physe.2021.114644']
AlH3,[3.1999999999999997],['10.1016/j.jpcs.2017.04.012']
Ni(HO)2,[4.5],['10.1016/j.jpcs.2021.110367']
Zr2N2O,[1.5],['10.1016/j.apsusc.2015.09.129']
GaAuS2,"[2.06, 2.2, 3.134, 3.134, 3.62]","['10.1016/j.physb.2022.414305', '10.1016/j.physb.2022.414305', '10.1016/j.physb.2022.414305', '10.1016/j.physb.2022.414305', '10.1016/j.physb.2022.414305']"
GaCuTe2,"[0.91, 1.06, 1.23, 1.24, 2.363]","['10.1016/j.physb.2022.414305', '10.1016/j.ssc.2022.114836', '10.1016/j.cplett.2022.140086', '10.1016/j.comptc.2013.02.002', '10.1016/j.physb.2022.414305']"
BaSi2,"[0.277, 0.457, 0.72, 0.77, 1.13, 1.13, 1.13, 1.142, 1.24, 1.24, 1.24, 1.3, 1.33, 1.38, 1.4, 1.66]","['10.1016/j.jallcom.2006.03.074', '10.1016/j.jallcom.2006.03.074', '10.1016/j.jallcom.2006.03.074', '10.1016/j.jallcom.2008.11.149', '10.1016/j.jallcom.2008.11.149', '10.1016/j.jallcom.2008.11.149', '10.1016/j.actamat.2018.02.010', '10.1016/j.actamat.2018.02.010', '10.1016/j.actamat.2018.02.010', '10.1016/j.intermet.2009.08.012', '10.1016/j.intermet.2009.08.012', '10.1016/j.intermet.2009.08.012', '10.1016/j.intermet.2009.08.012', '10.1016/j.intermet.2005.10.010', '10.1016/j.intermet.2005.10.010', '10.1016/j.intermet.2005.10.010', '10.1016/j.intermet.2005.10.010']"
K2Cu2GeS4,"[2.167, 2.167]","['10.1016/j.jallcom.2018.12.035', '10.1016/j.jallcom.2018.12.035']"
TlPb2Br5,[3.137],['10.1016/j.optmat.2022.112889']
MoSe,[1.57],['10.1016/j.physe.2022.115548']
La2O3,"[3.7, 3.7989, 3.806, 4.1, 5.4, 5.5]","['10.1016/j.jpcs.2019.04.017', '10.1016/j.spmi.2020.106686', '10.1016/j.spmi.2020.106686', '10.1016/j.susc.2020.121747', '10.1016/j.mee.2009.03.016', '10.1016/j.mee.2009.03.016']"
MnSe,"[2.0, 2.65]","['10.1016/j.jmmm.2014.02.060', '10.1016/j.aej.2022.02.064']"
NaCa10(PO4)7,[3.82],['10.1016/j.jlumin.2013.04.036']
CoWO4,[2.7],['10.1016/j.mset.2021.12.006']
SNO,"[1.9, 2.0, 3.02]","['10.1016/j.jpcs.2021.110499', '10.1016/j.jpcs.2021.110499', '10.1016/j.jpcs.2021.110499']"
Zr,"[0.15000000000000002, 0.71, 1.75, 1.9449999999999998, 3.1, 4.65]","['10.1016/j.physb.2023.414671', '10.1016/j.jallcom.2015.04.117', '10.1016/j.jelechem.2004.11.002', '10.1016/j.vacuum.2021.110530', '10.1016/j.vacuum.2021.110530', '10.1016/j.physe.2016.03.016']"
Fe3S4,[1.5],['10.1016/j.nanoen.2019.05.055']
FeS2,"[0.387, 0.73, 0.83, 0.92, 0.925, 0.936, 0.936, 0.936, 0.95, 0.95, 0.95, 0.95, 0.95, 0.95, 0.95, 0.95, 1.007, 1.058, 1.058, 1.08, 1.1, 1.15, 1.17, 1.17, 1.17, 1.17, 1.17, 1.29, 1.39, 1.39, 1.77, 1.77]","['10.1016/j.nanoen.2019.05.055', '10.1016/j.apsusc.2023.157192', '10.1016/j.physb.2022.413710', '10.1016/j.physb.2022.413710', '10.1016/S0304-386X(98)00079-6', '10.1016/j.physe.2019.113688', '10.1016/j.jpcs.2018.02.055', '10.1016/j.jallcom.2020.157662', '10.1016/j.comptc.2023.114019', '10.1016/j.comptc.2023.114019', '10.1016/j.comptc.2023.114019', '10.1016/j.cap.2017.05.008', '10.1016/j.cap.2017.05.008', '10.1016/j.cap.2017.05.008', '10.1016/j.commatsci.2004.02.026', '10.1016/j.apsusc.2016.03.188', '10.1016/j.apsusc.2016.03.188', '10.1016/j.apsusc.2016.03.188', '10.1016/j.apsusc.2023.157192', '10.1016/j.mseb.2017.10.016', '10.1016/j.physb.2022.413710', '10.1016/j.physb.2022.413710', '10.1016/j.physb.2022.413710', '10.1016/j.physb.2022.413710', '10.1016/j.physb.2022.413710', '10.1016/j.physb.2022.413710', '10.1016/j.physb.2022.413710', '10.1016/j.spmi.2018.04.042', '10.1016/j.jpcs.2018.05.039', '10.1016/j.jpcs.2018.05.039', '10.1016/j.jpcs.2018.05.039', '10.1016/j.jallcom.2020.157662']"
Na2S,"[2.501, 4.0]","['10.1016/j.nanoen.2019.05.055', '10.1016/j.mssp.2022.107206']"
Tl3PbCl5,"[3.45, 3.45]","['10.1016/j.jpcs.2011.02.016', '10.1016/j.jpcs.2011.02.016']"
EuVO4,"[2.88, 2.88]","['10.1016/j.jallcom.2015.06.211', '10.1016/j.jallcom.2015.06.211']"
ScMoO,[0.63],['10.1016/j.jmgm.2019.107490']
MoCSO,[0.63],['10.1016/j.jmgm.2019.107490']
PNF,[0.43],['10.1016/j.elspec.2008.12.001']
AlN2O,[2.5],['10.1016/j.jallcom.2012.09.002']
In0.49Ga0.51P1,[1.9],['10.1016/j.mssp.2013.04.006']
CsBaPS4,[2.8],['10.1016/j.jssc.2015.10.028']
NaNbO3,"[3.31, 3.36, 3.44, 4.0]","['10.1016/j.carbon.2018.04.076', '10.1016/j.carbon.2018.04.076', '10.1016/S0925-8388(01)01339-1', '10.1016/j.ssc.2006.01.001']"
Cd(FeO2)2,[1.7],['10.1016/j.cocom.2021.e00629']
PCN,[2.7],['10.1016/j.cej.2022.138445']
Sr3Al2O6,[5.27],['10.1016/j.jmrt.2020.02.011']
Zn(InS2)2,"[1.66, 1.66, 1.83, 2.308, 2.41, 2.5, 2.8, 3.348]","['10.1016/j.apsusc.2022.155019', '10.1016/j.mssp.2020.105435', '10.1016/j.apsusc.2022.155019', '10.1016/j.apsusc.2022.155019', '10.1016/j.apsusc.2022.155019', '10.1016/j.apsusc.2022.155019', '10.1016/j.apsusc.2022.154739', '10.1016/j.apsusc.2022.154739']"
BaTaNO2,"[0.5, 1.8, 2.0]","['10.1016/S0022-3697(02)00296-2', '10.1016/S0022-3697(02)00296-2', '10.1016/j.mssp.2019.104800']"
Ca5Si(PO6)2,[4.98],['10.1016/j.optcom.2012.09.069']
AlGaN,"[0.69, 4.8]","['10.1016/j.physb.2012.05.035', '10.1016/j.apsusc.2015.02.017']"
Ba2HoReO6,"[0.32, 1.93]","['10.1016/j.ssc.2019.03.001', '10.1016/j.ssc.2019.03.001']"
CuO,"[1.17, 1.2, 1.21, 1.35, 1.4, 1.4, 1.45, 1.5, 1.5499999999999998, 1.58, 1.58, 1.65, 1.71, 1.8, 1.9, 1.99, 1.99, 1.99, 1.99, 1.991, 2.01, 3.0, 3.26, 3.27, 3.39, 3.63, 5.27, 5.31]","['10.1016/j.optmat.2023.113433', '10.1016/j.optmat.2023.113433', '10.1016/j.optmat.2023.113433', '10.1016/j.spmi.2021.106966', '10.1016/j.cocom.2018.e00322', '10.1016/j.cocom.2018.e00322', '10.1016/j.cocom.2018.e00322', '10.1016/j.chemphys.2021.111160', '10.1016/j.chemphys.2021.111160', '10.1016/j.chemphys.2021.111160', '10.1016/S0927-0248(02)00352-5', '10.1016/j.spmi.2017.12.038', '10.1016/j.spmi.2017.12.038', '10.1016/j.spmi.2017.12.038', '10.1016/j.apsusc.2009.06.056', '10.1016/j.jallcom.2018.01.181', '10.1016/j.jallcom.2018.01.181', '10.1016/j.jallcom.2018.01.181', '10.1016/j.ceramint.2017.10.224', '10.1016/j.tsf.2020.137861', '10.1016/j.matlet.2016.01.115', '10.1016/j.apsusc.2019.145215', '10.1016/j.apsusc.2019.145215', '10.1016/j.mtcomm.2022.103923', '10.1016/j.mtcomm.2022.103923', '10.1016/j.matpr.2022.01.373', '10.1016/j.jallcom.2018.01.181', '10.1016/j.jallcom.2018.01.181', '10.1016/j.ceramint.2017.10.224']"
ZrO,"[1.62, 3.73]","['10.1016/j.saa.2020.118400', '10.1016/j.saa.2020.118400']"
B,"[0.22, 0.683, 0.912, 1.0, 1.33, 1.35, 1.89, 2.0, 2.62, 2.86, 2.86, 6.17]","['10.1016/j.physleta.2020.126350', '10.1016/j.apsusc.2020.148521', '10.1016/j.apsusc.2020.145549', '10.1016/j.physe.2017.08.011', '10.1016/j.physe.2017.08.011', '10.1016/j.physe.2019.113841', '10.1016/j.cplett.2010.10.052', '10.1016/j.ssc.2011.11.002', '10.1016/j.jssc.2009.04.027', '10.1016/j.chemphys.2020.111054', '10.1016/j.jssc.2014.10.012', '10.1016/j.susc.2017.08.010']"
Si2N2O,"[5.1, 5.97]","['10.1016/j.commatsci.2011.09.021', '10.1016/j.commatsci.2011.09.021']"
VP2S,[2.87],['10.1016/j.physb.2011.11.032']
EuH2,"[0.29, 3.0]","['10.1016/j.vacuum.2023.112011', '10.1016/S0925-8388(02)01231-8']"
In2O3,"[2.6, 3.6, 3.6, 3.75]","['10.1016/j.cap.2008.12.051', '10.1016/j.mser.2003.12.002', '10.1016/j.tsf.2019.137686', '10.1016/j.ssi.2004.07.065']"
Cu2HgGeSe4,"[0.865, 1.6, 1.6, 6.0]","['10.1016/j.chemphys.2020.110821', '10.1016/j.chemphys.2020.110821', '10.1016/j.chemphys.2020.110821', '10.1016/j.chemphys.2020.110821']"
CdHgTe,[0.2],['10.1016/j.jpcs.2019.01.033']
Yb14MnSb11,[1.021],['10.1016/j.jmgm.2018.10.019']
In0.5Ga0.5As1,[0.161],['10.1016/j.physb.2018.01.059']
Bi3ClO4,[2.725],['10.1016/j.apsusc.2020.148521']
Li2Ca4Si4O13,"[3.89, 4.61, 4.61]","['10.1016/j.ceramint.2019.09.277', '10.1016/j.ceramint.2019.09.277', '10.1016/j.ceramint.2019.09.277']"
MnB,[0.5],['10.1016/j.matchemphys.2020.123334']
Ti2O3,"[0.1, 0.14, 0.14, 2.8]","['10.1016/j.apsusc.2018.03.138', '10.1016/j.mattod.2023.03.001', '10.1016/j.jallcom.2015.10.203', '10.1016/j.jallcom.2015.10.203']"
Sn15WO32,[6.9],['10.1016/j.jmmm.2011.06.021']
SrBiS2F,"[0.8, 0.88, 0.88, 0.89]","['10.1016/j.rinp.2019.102808', '10.1016/j.rinp.2019.102808', '10.1016/j.jpcs.2022.111097', '10.1016/j.jpcs.2022.111097']"
Ni(RhO2)2,[0.466],['10.1016/j.jmmm.2023.170604']
CrFe(BiO3)2,[1.75],['10.1016/j.jallcom.2015.09.187']
La2MnNiO6,"[1.133, 1.133, 1.4, 1.4, 1.5, 4.4]","['10.1016/j.jallcom.2015.09.187', '10.1016/j.jallcom.2015.09.187', '10.1016/j.jmmm.2014.10.069', '10.1016/j.jallcom.2015.09.187', '10.1016/j.jallcom.2015.09.187', '10.1016/j.jallcom.2015.09.187']"
GdNbO4,[3.745],['10.1016/j.jssc.2018.03.011']
BaMg4,[1.59],['10.1016/j.molliq.2021.117622']
CePO4,[3.0],['10.1016/j.jpcs.2020.109751']
Al0.2Ni0.8S1,[0.18],['10.1016/j.ceramint.2022.07.292']
Mn2GeRu,"[0.235, 0.235, 0.31]","['10.1016/j.jmmm.2016.12.076', '10.1016/j.jmmm.2016.12.076', '10.1016/j.cjph.2018.01.015']"
GaAgS2,"[0.95, 0.95, 0.95, 0.96, 1.25, 1.8, 2.51, 2.525, 2.59, 2.615, 2.73, 7.0]","['10.1016/j.jssc.2022.122996', '10.1016/j.jssc.2022.122996', '10.1016/j.jssc.2022.122996', '10.1016/j.tsf.2020.138469', '10.1016/j.jallcom.2011.11.133', '10.1016/j.jallcom.2011.11.133', '10.1016/j.jphotochemrev.2022.100569', '10.1016/j.jphotochemrev.2022.100569', '10.1016/j.physb.2022.414305', '10.1016/j.physb.2022.414305', '10.1016/j.physb.2022.414305', '10.1016/j.mssp.2016.02.015']"
TlAgS2,[0.61],['10.1016/j.jssc.2022.122996']
InSN2,[0.78],['10.1016/j.physe.2014.10.036']
CaYAlO4,[4.3],['10.1016/j.optmat.2016.04.012']
LaCuSO,[3.1],['10.1016/j.tsf.2004.11.235']
Ba2YBiO6,"[2.77, 2.87, 2.879, 2.879]","['10.1016/j.micrna.2022.207397', '10.1016/j.micrna.2022.207397', '10.1016/j.micrna.2022.207397', '10.1016/j.micrna.2022.207397']"
Co3S4,[0.1],['10.1016/j.nanoen.2018.04.018']
GdFeO3,[2.4],['10.1016/j.comptc.2022.113993']
Cs2NaInCl6,"[1.05, 2.96, 2.96, 2.99, 3.7, 4.55, 4.55, 4.55]","['10.1016/j.mseb.2023.116299', '10.1016/j.commatsci.2023.112058', '10.1016/j.ssc.2022.114812', '10.1016/j.ssc.2022.114812', '10.1016/j.ssc.2022.114812', '10.1016/j.ssc.2022.114812', '10.1016/j.ssc.2022.114812', '10.1016/j.ssc.2022.114812']"
Sr3SbP,"[1.35, 1.35, 1.35, 1.52, 1.52]","['10.1016/j.cplett.2022.140127', '10.1016/j.cplett.2022.140127', '10.1016/j.cplett.2022.140127', '10.1016/j.cplett.2022.140127', '10.1016/j.cplett.2022.140127']"
IrN,[0.38],['10.1016/j.commatsci.2012.01.005']
Sc2O3,[5.7],['10.1016/j.jpcs.2016.01.016']
Na3B6BrO10,[4.451],['10.1016/j.ica.2013.04.046']
HCN,[4.84],['10.1016/j.physe.2023.115710']
FeSi,"[0.05, 0.05, 0.06, 0.06, 0.09, 0.1, 0.205, 0.41]","['10.1016/j.jallcom.2012.05.037', '10.1016/S1386-9477(01)00121-7', '10.1016/j.physb.2011.02.059', '10.1016/j.physb.2011.02.059', '10.1016/j.physb.2011.02.059', '10.1016/j.matchemphys.2022.126695', '10.1016/j.jallcom.2016.09.225', '10.1016/S0921-4526(02)02471-7']"
Mg(InS2)2,"[2.19, 2.19]","['10.1016/j.jssc.2010.09.022', '10.1016/j.jmgm.2019.01.010']"
Cd(InS2)2,[2.49],['10.1016/j.jssc.2010.09.022']
Ba5Ta4O15,[3.576],['10.1016/j.jssc.2021.122127']
Fe2O3,"[2.2, 2.2, 2.6]","['10.1016/j.nimb.2018.05.029', '10.1016/j.physe.2023.115667', '10.1016/j.gca.2005.01.023']"
AlCrCo2,"[0.475, 0.8, 0.8]","['10.1016/j.jmmm.2003.10.017', '10.1016/j.jpcs.2012.09.017', '10.1016/j.jpcs.2012.09.017']"
MnCuO2,[1.32],['10.1016/j.jssc.2022.123432']
MnAuO2,[1.67],['10.1016/j.jssc.2022.123432']
TlSb(PSe3)2,"[1.68, 1.765, 1.765]","['10.1016/j.jallcom.2020.156485', '10.1016/j.jallcom.2020.156485', '10.1016/j.jallcom.2020.156485']"
Sc2CO2,"[1.8, 1.85, 1.85, 1.86, 1.87, 1.87, 2.4]","['10.1016/j.jmrt.2023.02.211', '10.1016/j.jmrt.2023.02.211', '10.1016/j.jmrt.2023.02.211', '10.1016/j.vacuum.2023.112016', '10.1016/j.jmrt.2023.02.211', '10.1016/j.vacuum.2023.112016', '10.1016/j.susmat.2022.e00516']"
LiMgN,"[2.33, 2.33, 2.33, 3.65, 3.954]","['10.1016/j.ssc.2022.114665', '10.1016/j.jssc.2015.07.047', '10.1016/j.ssc.2023.115156', '10.1016/j.ssc.2023.115156', '10.1016/j.ssc.2023.115156']"
