compound,Tc,source
SmCo7,[ 345. 1000.],['10.1016/j.jmmm.2006.07.018' '10.1016/j.jmmm.2020.167415']
NF,[260.],['10.1016/j.jmmm.2004.11.146']
Mn0.4Ga1Fe0.6O3,[149.],['10.1016/j.jmmm.2011.03.019']
La1Mn0.5Co0.5O3,[200. 215. 215. 237.],"['10.1016/j.ceramint.2017.09.239' '10.1016/j.ceramint.2017.09.239'
 '10.1016/j.ceramint.2017.09.239' '10.1016/j.jmmm.2005.10.004']"
Sm2Fe16Si1C2.7,[660.],['10.1016/0304-8853(95)00100-X']
Fe2Cu0.5Ni0.5O4,[823.],['10.1016/j.jmmm.2008.11.003']
Y1Fe10.5Mo1.5,[383.],['10.1016/S0304-8853(97)00195-9']
GdSiNi4,[22.],['10.1016/j.jmmm.2006.01.024']
Er3AlCu,[54.3],['10.1016/j.jmmm.2018.05.097']
Na0.5Ti1Bi0.5O3,[593.15],['10.1016/j.jmmm.2019.03.029']
Mn2NiB,[345.],['10.1016/j.jmmm.2017.08.006']
Li1Mn1.5Zn0.5O4,[21.],['10.1016/j.jmmm.2009.12.033']
Tm,[  2.   9.  18.  25.  39.  57. 320. 350. 480.],"['10.1016/0925-8388(96)02357-2' '10.1016/j.cocom.2022.e00666'
 '10.1016/j.cocom.2022.e00666' '10.1016/j.jallcom.2020.154666'
 '10.1016/j.jallcom.2022.166241' '10.1016/j.jmmm.2022.169662'
 'Bousquet2016-JPCM-28-123001'
 'Handbook_of_Magnetic_Materials_Vol 17-2008'
 'Schafer1997-JAC-250-565']"
Nb4Fe1550(Co310B3)5,[748.15],['10.1016/j.jmmm.2015.02.044']
Tl(CoS)2,[150.],['10.1016/j.jmmm.2005.03.082']
La1Al1.56Fe11.349Co0.091,[196.],['10.1016/S0304-8853(01)00507-8']
TbFeO3,[337.],['10.1016/j.jmmm.2006.11.193']
GdIn3,[46. 48.],['10.1016/0304-8853(84)90294-4' '10.1016/j.jmmm.2015.10.004']
Eu4Ga8Ge15,[34.7],['10.1016/j.jmmm.2020.166519']
PrPRu4,[62.3],['10.1016/S0921-4526(99)00825-X']
Mn3As2,[270. 270. 270. 270.],"['10.1016/j.jssc.2020.121901' '10.1016/j.jssc.2020.121901'
 '10.1016/j.jssc.2020.121901' '10.1016/j.jssc.2020.121901']"
Ba2YCu3O7,[ 72.  89.  89.  90.  90.  92.  92.  94. 130. 173.],"['10.1016/0038-1098(91)90290-C' '10.1016/0921-4534(94)91130-4'
 '10.1016/S0926-2040(97)00038-6' '10.1016/S0926-2040(97)00038-6'
 '10.1016/S0926-2040(97)00038-6' '10.1016/j.jmmm.2004.04.091'
 '10.1016/j.jmmm.2004.04.091' '10.1016/j.physc.2004.03.031'
 'Murata1997-RSI-68-2490' 'Patterson-SolidStatePhysics']"
Tm2Ga7Fe10,[215.],['10.1016/S0921-4526(99)01305-8']
GdMg3,[117.],['10.1016/j.ijleo.2018.07.097']
Y1Cr0.75Fe0.25O3,[160.],['10.1016/S0254-0584(02)00188-8']
Sr0.3La0.56Ce0.14Mn1O3,[357.],['10.1016/j.jallcom.2009.11.107']
Fe3Sn2,[600. 640. 657. 670.],"['10.1016/j.mtphys.2020.100189' 'Fenner2009-JPCM-21-452202'
 'Giefers2006-JAC-422-132' 'Yin2018-Nature']"
TiO2,[400.   760.   820.   956.   985.15],"['10.1016/j.actbio.2011.08.025' '10.1016/j.cattod.2022.02.005'
 '10.1016/j.jmmm.2006.12.027' '10.1016/j.physb.2019.411862'
 '10.1016/j.physb.2019.411862']"
Ti6Fe5(BiO3)13,[175.],['10.1016/j.mseb.2016.08.001']
Gd5Si4,[323.15 335.   336.   345.   690.  ],"['10.1016/S0921-4526(01)01451-X' '10.1016/j.intermet.2015.07.013'
 '10.1016/j.jmmm.2019.166059' '10.1016/j.jmmm.2019.166059'
 '10.1016/j.jmmm.2021.168194']"
Na3RuO4,[30.],['10.1016/0022-4596(80)90018-3']
FeGeRh2,[490.],['10.1016/j.jallcom.2005.09.020']
NiGeRh2,[113.],['10.1016/j.jallcom.2005.09.020']
PrCrO3,[240.],['10.1016/j.jssc.2022.122933']
LaMnNb2ClO7,[54.],['10.1016/S0022-4596(03)00186-5']
Fe(CoO2)2,[450.],['10.1016/j.ceramint.2021.01.042']
Cr1As0.97P0.03,[135.],['10.1016/j.jallcom.2004.04.055']
CrSI,[350.],['10.1016/j.jallcom.2022.164797']
Tb0.3Dy0.67Ho0.03Fe2,[658.],['10.1016/j.jallcom.2007.04.105']
Lu4.8Pd2,[164.],['10.1016/j.intermet.2022.107519']
Fe77.5Si7.5B15,[700.],['10.1016/S0378-4371(03)00189-4']
K1La1Fe1.2Mo0.8O6,[300.],['10.1016/j.jallcom.2006.03.072']
KNO,[708.15 708.15],['10.1016/j.matchemphys.2018.04.014' '10.1016/j.physb.2020.412593']
UMnFe9Si2,[445.],['10.1016/S0925-8388(96)02860-5']
U3Ge4,[52. 94.],['10.1016/S0925-8388(98)00873-1' 'Troc2002-PMB-82-7-805']
Mn2BiO5,[40.5 44. ],['10.1016/j.materresbull.2007.07.023' '10.1016/j.materresbull.2007.07.023']
SiNi2,[200.],['10.1016/j.spmi.2016.05.033']
CeZn15O16,[305.],['10.1016/j.cap.2018.08.014']
Gd0.12Fe1Bi0.88O3,[643.15],['10.1016/j.scriptamat.2020.07.045']
Ba0.3La0.6Pr0.1Mn1O3,[ 94. 215. 277.],"['10.1016/j.jallcom.2016.05.026' '10.1016/j.jmmm.2021.168194'
 '10.1016/j.jmmm.2021.168194']"
Tb2Ga3Co,[27.],['10.1016/S0925-8388(01)01103-3']
La0.6Ga0.4Fe1O3,[350.],['10.1016/j.apsusc.2016.02.083']
CeO2,[ 31.  35. 235. 300. 300. 315. 315. 350. 400.],"['10.1016/j.jallcom.2021.160149' '10.1016/j.jallcom.2021.160149'
 '10.1016/j.jallcom.2021.160149' '10.1016/j.jallcom.2021.160149'
 '10.1016/j.physb.2010.01.054' '10.1016/j.physb.2010.01.054'
 '10.1016/j.physe.2020.114364' '10.1016/j.physe.2020.114364'
 '10.1016/j.physe.2020.114364']"
Fe3RhN,[505.],['10.1016/j.cplett.2007.10.036']
FeCN2,[350.],['10.1016/j.apsusc.2019.145010']
Al29Co38Ni33,[260.],['10.1016/S1359-6454(02)00061-7']
Li2BPd3,[  7.  13. 202.],"['10.1016/j.physc.2007.05.015' '10.1016/j.physc.2007.05.015'
 '10.1016/j.physc.2007.05.015']"
Na5Co15.5Te6O36,[52.],['10.1016/j.jssc.2013.12.003']
Sm1V2.2Co9.8,[360. 360.],['10.1016/S0925-8388(03)00436-5' '10.1016/S0925-8388(03)00436-5']
Gd(AlCr)6,[175.],['10.1016/S0925-8388(00)01288-3']
Gd(AlFe)6,[345.],['10.1016/S0925-8388(00)01288-3']
TiFeSi,[728.],['10.1016/j.jallcom.2004.07.043']
TiFeSi2,[917. 917. 917.],"['10.1016/j.jallcom.2004.07.043' '10.1016/j.jallcom.2004.07.043'
 '10.1016/j.jallcom.2004.07.043']"
Fe69.5Ni30.5,[408.15],['10.1016/j.sna.2009.05.012']
Fe20.4Ni59.6B20,[393.15],['10.1016/j.sna.2009.05.012']
VGaCo2,[ 328.  360.  400. 1970.],"['10.1016/j.cplett.2021.139261' '10.1016/j.cplett.2021.139261'
 '10.1016/j.jmmm.2006.10.704' 'Manna2018-PRX-8-041045']"
Tm1Al0.2Ge2,[1.9],['10.1016/j.jpcs.2019.109205']
Nd3Al,[74.],['10.1016/j.physb.2017.06.080']
UN,[53.],['10.1016/j.jallcom.2004.06.020']
Mn1.1Fe0.9Ge0.2P0.8,[251.],['10.1016/j.jallcom.2009.12.050']
V3Te4,[1180.],['10.1016/0022-5088(86)90191-8']
TaTiFeO6,[550.],['10.1016/j.materresbull.2013.04.047']
U2Fe3Ge,[55. 55. 55. 55.],"['10.1016/j.jallcom.2012.12.092' 'Henriques2013-JPCM-25-066010'
 'Henriques2013-JPCM-25-066010' 'Henriques2014-PRB-89-054407']"
HoN,[14.5 15. ],['10.1016/j.ijhydene.2015.03.052' '10.1016/j.ijhydene.2015.03.052']
Ta,[ 62.    72.   240.25 865.  ],"['10.1016/j.jallcom.2004.10.047' '10.1016/j.jmmm.2021.168988'
 '10.1016/j.materresbull.2010.09.033' '10.1016/j.materresbull.2010.09.033']"
AlCrCo2,[300. 305. 334. 351. 470. 540. 900.],"['10.1016/j.inoche.2020.108207' '10.1016/j.jmmm.2018.05.014'
 '10.1016/j.jmmm.2018.05.014' '10.1016/j.jmmm.2019.166311'
 '10.1016/j.jmmm.2019.166311' '10.1016/j.jmmm.2021.168303'
 '10.1016/j.jpcs.2012.09.017']"
Mn25.9Ga28.9Fe45.2,[329.],['10.1016/j.intermet.2019.03.008']
Ce3Fe12Co2B,[516.],['10.1016/j.jmst.2017.06.019']
Yb14MnSb11,[47. 48. 53.],"['10.1016/j.jssc.2016.03.037' '10.1016/j.jssc.2016.03.037'
 '10.1016/j.jssc.2016.03.037']"
NdAlFe,[110.],['10.1016/S0925-8388(00)01449-3']
CrN,[262.  276.5 279.5],"['10.1016/j.actamat.2010.10.046' '10.1016/j.actamat.2012.03.043'
 '10.1016/j.apsusc.2018.05.118']"
Zn15NiO15,[326.8],['10.1016/j.ssc.2022.114813']
MnFeP,[300.],['10.1016/j.physb.2006.11.010']
YbInCu4,[42.],['10.1016/j.physb.2005.01.046']
Na0.05Sr0.4Pr0.55Mn1O3,[104. 289. 289.],"['10.1016/j.jallcom.2013.01.008' '10.1016/j.jallcom.2014.05.114'
 '10.1016/j.jallcom.2014.05.114']"
Sr0.4Pr0.6Mn1O3,[104. 255. 270. 289. 290. 305.],"['10.1016/j.ijrefrig.2021.10.005' '10.1016/j.jallcom.2014.05.114'
 '10.1016/j.jallcom.2014.05.114' '10.1016/j.jallcom.2021.163291'
 '10.1016/j.jallcom.2021.163291' '10.1016/j.jallcom.2021.163291']"
GaNi,[423.],['10.1016/j.jallcom.2017.10.232']
Sr2CrWO6,[400. 400. 458. 635. 635.],"['10.1016/j.jallcom.2020.155351' '10.1016/j.jallcom.2020.155351'
 '10.1016/j.jallcom.2020.155906' '10.1016/j.jallcom.2020.155906'
 '10.1016/j.physb.2007.04.078']"
Sr2CrMoO6,[450.],['10.1016/S1293-2558(02)01309-2']
Pd,[  4.65   8.5    8.7   26.   255.   262.   327.   350.  ],"['10.1016/j.ijhydene.2020.02.147' '10.1016/j.jmmm.2018.07.087'
 '10.1016/j.jmmm.2018.07.087' '10.1016/j.jssc.2015.01.027'
 '10.1016/j.physleta.2005.03.052' 'Han2009-PRB-80-024506'
 'Kudo2016-PRB-93-140505' 'Snider2021-PRL-126-117003']"
Tl,[55.],['10.1016/S0925-8388(99)00212-1']
Cr4Fe74Si1.6P9C11,[238.],['10.1016/S0921-4526(02)01703-9']
MnFeGe,[159. 163. 228.],"['10.1016/j.ijrefrig.2007.11.013' 'Guclu2013-JMMM-327-7'
 'Guclu2013-JMMM-327-7']"
NdGa,[42. 42.],['10.1016/j.jallcom.2018.05.028' '10.1016/j.jallcom.2020.153810']
C2NO,[ 5. 22.],['10.1016/j.tsf.2010.03.127' 'Stewart2017-AP-66-75']
Ba0.35La0.65Mn0.95Fe0.05O3,[207.],['10.1016/j.cap.2011.10.015']
Mn0.5Ga1Fe0.5Ni2,[434.],['10.1016/j.jallcom.2004.04.053']
Ti2Cr2C3O2,[720.6],['10.1016/j.commatsci.2017.08.016']
PuGa2,[74.],['10.1016/j.physb.2017.09.052']
Mn0.09Zn0.91O1,[108. 108. 108. 110. 130. 300.],"['10.1016/j.jcrysgro.2004.11.300' '10.1016/j.mseb.2005.12.007'
 '10.1016/j.mseb.2005.12.007' '10.1016/j.mseb.2005.12.007'
 '10.1016/j.mseb.2005.12.007' '10.1016/j.mseb.2005.12.007']"
Nd6Co2Si3,[ 84.5 186.9],['10.1016/j.jallcom.2008.09.099' '10.1016/j.jallcom.2008.09.099']
Tb6Al0.8Co2.2,[58. 63. 85.],"['10.1016/j.intermet.2019.106588' '10.1016/j.intermet.2019.106588'
 '10.1016/j.jmmm.2018.12.082']"
Al1V0.5Fe2.5,[429.],['10.1016/S0925-8388(99)00610-6']
Lu2Fe14C,[495.],['10.1016/0022-5088(90)90603-H']
Ho1Cu0.33Ge2,[4.1 9.2],['10.1016/j.jallcom.2004.03.116' '10.1016/j.jallcom.2004.03.116']
MnAlCo2,[ 50. 462. 697.],"['10.1016/j.jallcom.2017.12.114' '10.1016/j.jmgm.2022.108165'
 'Kübler2016-EPL-114-47005']"
Fe2Co0.2Ni0.8O4,[763.15],['10.1016/j.ceramint.2017.02.022']
TbB6,[23.],['10.1016/S0925-8388(99)00078-X']
Cr10Fe33Ni7,[26.],['10.1016/j.msea.2004.02.057']
Fe76Si9B9.984P4.992,[52.],['10.1016/j.mseb.2007.09.010']
MnSbAu,[   251.22 135610.  ],['10.1016/j.jallcom.2017.03.092' 'Walle2003-JAC-349-105']
Pr2MnCoO6,[3.],['10.1016/j.physleta.2019.04.036']
MnSnPd2,[183.9],['10.1016/j.jallcom.2010.05.176']
AlFeCoSiNi,[477.5],['10.1016/j.jallcom.2022.165958']
BPS,[653.15],['10.1016/j.scitotenv.2018.07.421']
BaFeO2F,[645.],['10.1016/j.jssc.2011.04.011']
Sr1.62La1.38Mn2O7,[114.],['10.1016/j.jpcs.2018.01.002']
Cr0.02In0.98N1,[350. 350.],['10.1016/j.jcrysgro.2004.05.073' '10.1016/j.physe.2020.114524']
TiCoSn,[463.],['10.1016/j.physe.2021.114939']
GaFeO3,[210. 210. 220. 225.],"['10.1016/j.jallcom.2009.11.099' '10.1016/j.jssc.2010.12.025'
 '10.1016/j.jssc.2011.07.006' '10.1016/j.jssc.2011.07.006']"
Gd3Co,"[ 54.  99.  99. 110. 128. 128. 129. 130. 130. 131. 145. 172. 172. 172.
 172.]","['10.1016/j.intermet.2018.10.013' '10.1016/j.jallcom.2015.06.149'
 '10.1016/j.jallcom.2015.06.149' '10.1016/j.jallcom.2015.06.149'
 '10.1016/j.jallcom.2015.06.149' '10.1016/j.jmmm.2006.02.253'
 '10.1016/j.jmmm.2006.02.253' '10.1016/j.jmmm.2006.02.253'
 '10.1016/j.jmmm.2017.09.052' '10.1016/j.jmmm.2017.09.052'
 '10.1016/j.jmmm.2017.09.052' '10.1016/j.jmmm.2022.169505'
 '10.1016/j.jnoncrysol.2017.10.010' '10.1016/j.jnoncrysol.2017.10.010'
 '10.1016/j.jnoncrysol.2017.10.010']"
Ba2Y1Cu3O6.93,[90.],['10.1016/S0921-4534(98)00662-5']
Sm1Co6.1Si0.9,[718.15],['10.1016/j.intermet.2004.12.018']
LiCd,[306.],['10.1016/j.jpcs.2021.110380']
La2CuO4,[ 44. 317. 325. 325. 460.],"['10.1016/0921-4534(89)90694-1' '10.1016/0921-4534(92)90013-3'
 '10.1016/S0921-4534(03)00865-7' 'Johnston2010-AP-59-803'
 'Johnston2011-PRB-84-094445']"
Ba3Mn2(Ge2O7)2,[77.],['10.1016/j.jssc.2019.121090']
Eu3(SF2)2,[0.3],['10.1016/j.jssc.2009.08.023']
Mn0.22Fe0.78O1,[104.],['10.1016/j.jmst.2019.07.030']
AlCoNi,[1073.15 1133.15],['10.1016/j.jallcom.2016.04.218' '10.1016/j.jnoncrysol.2019.03.028']
NaCl,[466.15],['10.1016/j.cej.2017.12.142']
ZnCr2O4,[  8.  11. 401.],"['10.1016/j.cap.2017.04.011' '10.1016/j.jmmm.2020.166595'
 '10.1016/j.jssc.2011.03.049']"
GdTiGe,[374. 376. 376.],"['10.1016/S0025-5408(99)00159-2' '10.1016/j.elspec.2010.06.004'
 'Skorek2011-JPCM-13-6397']"
GdTiSi,[294.],['10.1016/j.elspec.2010.06.004']
NaIrO3,[339.],['10.1016/j.jallcom.2018.04.308']
FeTe2,[150.],['10.1016/j.jallcom.2008.01.096']
Ba0.5Sr1.5Mg2Fe12O22,[380.],['10.1016/j.jallcom.2021.161266']
TiNiO3,[23. 23.],['10.1016/j.jallcom.2017.12.273' 'Harada2016-PRB-93-104404']
MnGaSb,[ 25. 600.],['10.1016/j.tsf.2020.137971' 'Kakakibara2010-JAC-496-L14']
Cs(TeMo)3,[220.],['10.1016/j.jssc.2014.08.031']
Dy0.05Fe2Co0.95O4,[703.15],['10.1016/j.ceramint.2020.04.202']
Mn25Al22Ni53,[278. 278.],['10.1016/j.jallcom.2006.06.070' '10.1016/j.jallcom.2006.06.070']
Nb1Fe74.5Cu1Si17.5B5P1,[753.15],['10.1016/j.mseb.2017.04.007']
Nd4FeS6O,[50. 50.],['10.1016/j.jssc.2015.05.020' 'Lin2015-JSSC-229-41']
Mn2B,[43.],['10.1016/j.jssc.2021.122386']
MnCoP,[575. 600.],['10.1016/S0925-8388(00)01346-3' 'Bocarsly2017-CM-29-1613']
GaN,[  5.2 300.  420. ],"['10.1016/j.mseb.2005.09.015' '10.1016/j.physb.2017.08.050'
 'Zhang2015-PRL-114-107003']"
Y1Mn0.2Fe1.8,[200.],['10.1016/j.jssc.2010.12.017']
ErMnFe,[220.],['10.1016/j.jssc.2010.12.017']
La1Cr0.5Fe0.5O3,[120. 120. 120. 220. 295.],"['10.1016/j.jallcom.2018.11.101' '10.1016/j.jmmm.2020.167621'
 '10.1016/j.jmmm.2020.167621' '10.1016/j.jmmm.2020.167621'
 '10.1016/j.materresbull.2012.04.068']"
Tb3Al2,[ 77.  77. 190. 190.],"['10.1016/j.intermet.2018.10.013' '10.1016/j.intermet.2018.10.013'
 '10.1016/j.intermet.2018.10.013' '10.1016/j.jallcom.2014.06.209']"
Mn6Si7Ni16,[205.],['10.1016/j.jallcom.2019.03.411']
Cr2Fe73Si11B11C3,[827.15],['10.1016/j.jallcom.2022.165889']
Fe3W3N,[110. 110. 110.],"['10.1016/j.jallcom.2011.07.025' '10.1016/j.jallcom.2011.07.025'
 '10.1016/j.jallcom.2011.07.025']"
MnFe2Si,[250.],['10.1016/j.jmmm.2016.12.070']
Ca0.35La0.39Pr0.26Mn1O3,[200.],['10.1016/j.jallcom.2016.12.282']
La0.6Ho0.4Ni2,[4.1],['10.1016/j.jallcom.2015.07.014']
LaVO4,[50. 60.],['10.1016/j.matlet.2007.04.077' '10.1016/j.saa.2020.118787']
SrLaFeO4,[380.],['10.1016/j.jallcom.2022.165865']
Sm2TiFe7,[148.   166.   211.   577.   577.   653.   653.15],"['10.1016/0304-8853(90)90506-L' '10.1016/0304-8853(90)90506-L'
 '10.1016/0304-8853(90)90506-L' '10.1016/0304-8853(90)90506-L'
 '10.1016/j.actamat.2021.116912' '10.1016/j.actamat.2021.116912'
 '10.1016/j.actamat.2021.116912']"
La0.05Fe1Bi0.95O3,[1100.35],['10.1016/j.matlet.2016.05.081']
Mn3ZnC,[185. 233. 358. 380. 470.],"['10.1016/j.jmmm.2003.12.422' '10.1016/j.physb.2004.06.045'
 'Lin2013-JAC-572-145' 'Lin2013-JAC-572-145'
 'Lin2013-JAC-572-145']"
Sr2Co2O5,[570.],['10.1016/j.jssc.2011.01.026']
CeFe11Mo,[421.   421.15 643.15],"['10.1016/j.jallcom.2013.08.175' '10.1016/j.jallcom.2013.08.175'
 '10.1016/j.jmmm.2022.169309']"
Dy(GeRu)2,[22.],['10.1016/S0921-4526(98)00442-6']
Ce3Co11B4,[256. 265.],['10.1016/j.jallcom.2009.02.071' '10.1016/j.jallcom.2009.02.071']
Er,"[  9.   11.   15.   15.5  18.   39.   46.   68.   84.   95.  110.  240.
 294.  330.  470.  709. ]","['10.1016/0304-8853(94)90021-3' '10.1016/0925-8388(96)02357-2'
 '10.1016/j.jallcom.2005.05.026' '10.1016/j.jallcom.2005.12.036'
 '10.1016/j.jallcom.2017.08.073' '10.1016/j.jallcom.2020.153810'
 '10.1016/j.jallcom.2020.158114' '10.1016/j.jmmm.2007.11.013'
 '10.1016/j.matpr.2022.01.367' '10.1016/j.matpr.2022.01.367'
 '10.1016/j.matpr.2022.01.367' '10.1016/j.ssc.2012.04.033'
 '10.1016/j.ssc.2012.04.033' 'Bousquet2016-JPCM-28-123001'
 'Handbook_of_Magnetic_Materials_Vol 17-2008'
 'Yazdi2012-JMMM-324-723']"
Fe0.48Rh0.52,[338.],['10.1016/j.jallcom.2005.05.026']
Gd5Si1.8Ge2.2,[240.2],['10.1016/j.jallcom.2005.05.026']
BaHo2CuO5,[12.5],['10.1016/j.ceramint.2017.10.143']
Cr2CdS4,[ 84.  85. 154.],"['10.1016/S0921-4526(02)00759-7' 'Hamedoun1986-JPCASSP-19-1783'
 'Hamedoun1986-JPCASSP-19-1783']"
Tb4Bi3,[192.],['10.1016/j.jallcom.2007.06.035']
Sr0.19La0.81Mn1O3,[302.],['10.1016/j.mser.2020.100564']
MnGaFe2,[170. 185. 563.],"['10.1016/j.intermet.2019.106671' '10.1016/j.intermet.2019.106671'
 '10.1016/j.physb.2016.02.030']"
Al28(Co13Ni11)3,[380.],['10.1016/j.intermet.2007.12.004']
MgO,[320. 400. 525.],"['10.1016/S0304-8853(01)01089-7' '10.1016/S0304-8853(01)01089-7'
 '10.1016/j.physb.2010.04.056']"
CoPO4,[45.],['10.1016/j.solidstatesciences.2008.04.017']
LiFePO4,[52.],['10.1016/j.ssi.2007.12.071']
Np1U0.1Si2Ru2,[25.],['10.1016/S0038-1098(98)00499-2']
Gd(MnGe)2,[477.],['10.1016/j.jallcom.2003.09.028']
Ce2InNi2H,[370.],['10.1016/j.jallcom.2010.07.211']
Nd(Co2B)6,[155.],['10.1016/j.jallcom.2018.05.278']
Y3Fe5O12,[112.   540.15 562.  ],"['10.1016/j.msea.2002.12.005' '10.1016/j.physb.2011.11.020'
 'Thompson2011-CC-47-5563']"
Ce2GdCo11B4,[301.],['10.1016/j.matchemphys.2009.04.041']
TlCrTe2,[91.],['10.1016/j.jallcom.2005.05.028']
PCOF,[3.],['10.1016/j.jssc.2019.120903']
Ga0.8Fe1.2Co1O4,[266.],['10.1016/j.jallcom.2014.06.156']
Zn0.54Cr0.6Fe1.4Co0.46O4,[318.85],['10.1016/j.nantod.2019.100795']
KNO3,[401.15],['10.1016/j.ceramint.2008.08.005']
Ca0.3La0.65Mn0.9Cu0.1Pb0.05O3,[223.],['10.1016/j.jallcom.2010.07.212']
Sr2Ca2Cu(BiO4)2,[90.],['10.1016/S0038-1098(00)00306-9']
Ba2PrRuO6,[117. 117.],['10.1016/j.jallcom.2008.11.041' '10.1016/j.jssc.2018.08.001']
Sm7Rh3,[54.],['10.1016/j.physb.2013.06.006']
GdMn2,[86.],['10.1016/0022-5088(80)90142-3']
CrGaN,[400. 400. 400.],"['10.1016/S0038-1098(02)00073-X' '10.1016/S0038-1098(02)00073-X'
 '10.1016/j.solidstatesciences.2012.03.022']"
Nd1Sc1Si1H0.21C0.5,[70.],['10.1016/j.jallcom.2020.156105']
YbMnO3,[43.5 82. ],['10.1016/j.ceramint.2019.02.083' '10.1016/j.jssc.2010.01.007']
U2Fe15Ge2,[540.],['10.1016/j.physb.2005.01.386']
Gd(Co2B)6,[162.],['10.1016/j.ssc.2012.03.038']
Mn2SnRu,[272.1 272.1],['10.1016/j.jallcom.2011.08.090' '10.1016/j.jallcom.2011.08.090']
Cr2Te3,[175.],['10.1016/j.tsf.2005.10.020']
Be12Cr,[50.],['10.1016/j.tsf.2005.10.020']
GaFeCo2,[1100.],['10.1016/j.jallcom.2006.12.095']
Nd3Zr6Fe64Co7B20,[  67. 1331. 1395.],"['10.1016/j.intermet.2004.04.020' '10.1016/j.intermet.2004.04.020'
 '10.1016/j.intermet.2004.04.020']"
Nd3Zr6Fe67Co7B20,[67.],['10.1016/j.intermet.2004.04.020']
YCO,[132. 144. 450.],"['10.1016/j.matchemphys.2020.124053' '10.1016/j.matchemphys.2020.124053'
 '10.1016/j.physb.2018.06.038']"
Zn0.98Fe0.02O1,[300.],['10.1016/j.apsusc.2013.06.163']
Er6CoNi3,[ 5. 14.],['10.1016/j.jnoncrysol.2018.01.010' '10.1016/j.jnoncrysol.2018.01.010']
Y3Ni,[234.],['10.1016/j.physb.2003.11.003']
Sm1Zr0.5Co6.5,[1023.15],['10.1016/S0925-8388(99)00660-X']
Ba2NdNb4FeO15,[323.],['10.1016/j.ceramint.2014.02.058']
Nd7Ni3,[27.],['10.1016/j.physb.2018.04.030']
La1Mn1O3.15,[170.],['10.1016/S0921-4526(02)01737-4']
Zr1Co5.1,[773.15],['10.1016/j.ssc.2020.114118']
Mn29Ga21Ni50,[333.15],['10.1016/j.scriptamat.2011.07.011']
U(Ni2P)2,[21.],['10.1016/S0925-8388(97)00513-6']
V8Bi1.7O16,[6.5],['10.1016/j.matchemphys.2005.06.030']
Sr3Fe2Cu2Se2O5,[490.],['10.1016/j.solidstatesciences.2005.04.016']
La1Al1.56Fe11.44H3.2,[438.],['10.1016/S0925-8388(00)01468-7']
Sr1Co1O2.52,[550.],['10.1016/j.physc.2005.02.069']
Cr2Fe27,[713.],['10.1016/S0925-8388(00)00914-2']
KBOF,[543.],['10.1016/j.jallcom.2017.01.041']
NbFe18SiB5,[595.],['10.1016/j.jallcom.2007.08.011']
Y3Fe36B11,[551.15],['10.1016/j.jallcom.2007.08.011']
EuFeO3,[662.],['10.1016/j.jallcom.2022.166241']
Mn2FeReO6,[520.],['10.1016/j.jallcom.2017.12.282']
Y2MnNiO6,[79.],['10.1016/j.jallcom.2017.12.282']
MnCuNiSb,[ 88.   323.15 340.   670.   690.   690.   716.  ],"['10.1016/j.jallcom.2017.02.134' '10.1016/j.jallcom.2017.02.134'
 '10.1016/j.jallcom.2017.02.134' '10.1016/j.jmmm.2015.08.114'
 '10.1016/j.jmmm.2015.08.114' '10.1016/j.jmmm.2019.166059'
 '10.1016/j.jmmm.2019.166059']"
Sm2Co17,[1080.   1093.   1098.15 1180.   1195.15],"['10.1016/j.apsusc.2019.01.030' '10.1016/j.jallcom.2022.163687'
 '10.1016/j.jmmm.2021.168836' 'Lamichhane2019-9-035138'
 'Lamichhane2019-9-035138']"
Mn1.42Sn0.58Pd2,[203.1],['10.1016/j.jallcom.2012.11.175']
Mn1.47Sn0.53Pd2,[ 94.  198.2],['10.1016/j.jallcom.2012.11.175' '10.1016/j.jallcom.2012.11.175']
CeInCu4,[9.],['10.1016/j.jallcom.2009.03.049']
Fe49.2Pd50.8,[68. 68.],['10.1016/j.jallcom.2021.160157' '10.1016/j.jallcom.2021.160157']
Rh17S15,[5.4 5.4],['10.1016/j.jpcs.2009.12.070' 'Settai2010-JPCS-71-700']
Nd7Rh3,[38.6],['10.1016/j.jallcom.2020.156379']
MnCoNiSn,[100.],['10.1016/j.ssc.2011.05.009']
Nd2MgCo9,[633. 633. 633. 633.],"['10.1016/j.jallcom.2016.10.268' '10.1016/j.jallcom.2016.10.268'
 'Pandey2018-PRA-10-034038' 'Shtender2017-JAC-695-1426']"
Al76(Fe5Ni3)3,[287. 431.],['10.1016/j.jallcom.2015.12.115' '10.1016/j.jallcom.2015.12.115']
DyFeSi,[20. 77. 77.],"['10.1016/j.physb.2019.01.035' '10.1016/j.physb.2019.01.035'
 '10.1016/j.physb.2019.01.035']"
HoCo2,[76. 77.],['10.1016/j.jallcom.2013.01.114' '10.1016/j.physb.2019.01.035']
Ba1.3Sr0.7Al1.2Zn1.1Fe10.8Co0.9O22,[259.],['10.1016/j.ceramint.2021.03.272']
SmNi4B,[ 39.  39.  40.  57.  90. 210. 322.],"['10.1016/S0925-8388(02)00755-7' 'Yao2016-JMMM-419-176'
 'Yao2016-JMMM-419-176' 'Yao2016-JMMM-419-176'
 'Yao2016-JMMM-419-176' 'Yao2016-JMMM-419-176'
 'Yao2016-JMMM-419-176']"
Pr2Ni7,[85.],['10.1016/S0925-8388(02)00755-7']
Mn3P,[985.],['10.1016/j.physe.2021.114717']
